king	cabbage
professor	cucumber
chord	smile
noon	string
rooster	voyage
sugar	approach
stock	jaguar
stock	life
monk	slave
lad	wizard
delay	racism
stock	CD
drink	ear
stock	phone
holy	sex
production	hike
precedent	group
stock	egg
energy	secretary
month	hotel
forest	graveyard
cup	substance
possibility	girl
cemetery	woodland
glass	magician
cup	entity
Wednesday	news
direction	combination
reason	hypertension
sign	recess
problem	airport
cup	article
Arafat	Jackson
precedent	collection
volunteer	motto
listing	proximity
opera	industry
drink	mother
crane	implement
line	insurance
announcement	effort
precedent	cognition
media	gain
cup	artifact
Mars	water
peace	insurance
viewer	serial
president	medal
prejudice	recognition
drink	car
shore	woodland
coast	forest
century	nation
practice	institution
governor	interview
money	operation
delay	news
morality	importance
announcement	production
five	month
school	center
experience	music
seven	series
report	gain
music	project
cup	object
atmosphere	landscape
minority	peace
peace	atmosphere
morality	marriage
stock	live
population	development
architecture	century
precedent	information
situation	isolation
media	trading
profit	warning
chance	credibility
theater	history
day	summer
development	issue
